rating,feedback,clean_reviews,Positive,Negative,Neutral,reviews_length
5,1,love echo purchas compani husband  alexa great say name tell joke play favorit song,0.563,0.0,0.437,83
5,1,😍,0.5,0.0,0.5,1
5,1,love abl listen music easili still learn featur avail,0.344,0.0,0.656,53
4,1,realli know could use devic use thing need overview,0.0,0.0,1.0,51
5,1,love wish built hub,0.775,0.0,0.225,19
5,1,use primarili play music  work wonder  still get use mani thing  amazon sent sever tip sinc got thank help,0.383,0.0,0.617,106
5,1,easi set,0.0,0.0,1.0,8
4,1,fast respons amaz  clear concis answer sound qualiti fantast  still get use alexia usd echo full extent,0.14,0.0,0.86,103
5,1,you'r needna na nana,0.0,0.0,1.0,20
5,1,everyth expect,0.0,0.0,1.0,14
5,1,love echo  work like said would dont  home cannot speak function everyth els good,0.466,0.0,0.534,81
5,1,great sound small package—easi set use fun,0.597,0.0,0.403,42
5,1,work sound great,0.672,0.0,0.328,16
5,1,sound amaz mani collect music,0.0,0.0,1.0,29
4,1,set,0.0,0.0,1.0,3
5,1,doesn't alway listen,0.0,0.0,1.0,20
5,1,it awesom,0.0,0.0,1.0,9
4,1,bought control fio televis work well i'm hope time control fio discov thing alexa play music ask great sound alexa play game play radio station play old time radio program like long ranger alexa mani “apps” add abil day play madlib great fun also alexa control household applianc purchas alexa compat power strip control light fan tv compon i'm look forward implement control also add alexa compon chosen music play room compon locat,0.373,0.0,0.627,433
5,1,speaker excel sound work perfect,0.691,0.0,0.309,32
5,1,like,1.0,0.0,0.0,4
5,1,love everyth,0.808,0.0,0.192,12
5,1,littl nervous receiv new echo im realli tech savvi found bit intimid first didnt take long figur im happi purchas think ad echo spot,0.0,0.084,0.916,132
4,1,like still learn use,0.455,0.0,0.545,20
5,1,great technolog cant believ speaker volum qualiti wonder wish bought anoth one,0.405,0.0,0.595,78
5,1,purchas echo dot husband father day  use constant hear qualiti sound echo  generat nobrain  best gift ever,0.321,0.0,0.679,106
4,1,work fine,0.643,0.0,0.357,9
5,1, ,0.0,0.0,0.0,1
5,1,clear music,0.722,0.0,0.278,11
5,1,fun use good sound qualiti,0.674,0.0,0.326,26
5,1,echo work well abl sync amazon music devic,0.388,0.0,0.612,42
5,1,work great dont think amazon charg anoth cent unlimit music  prime  buy echo,0.247,0.091,0.662,76
5,1,alreadi echo dot echo even better fuller sound also setup let phone call made contact list great,0.318,0.0,0.682,96
5,1,speaker sound realli good,0.492,0.0,0.508,25
5,1,good sound work well,0.714,0.0,0.286,20
5,1,love alexa savvi support help patient,0.762,0.0,0.238,37
5,1,love think get one prime day discount offer could pass fun ask alexa play song group come playlist amazon prime music also connect iphon bluetooth play music pandora youtub video use alexa speaker ive fun ask alexa differ type question inform like weather news even time countri downsid limit data wifi plan alexa use burn play music,0.312,0.0,0.688,333
5,1,like far lot tri yet,0.385,0.0,0.615,20
5,1,love  use strict music great,0.735,0.0,0.265,28
5,1,love echo  love size materi speaker qualiti hook one light easili work addit light thermostat next echo dot bedroom lot echo think traffic weather trivia etc,0.259,0.0,0.741,157
4,1,love,1.0,0.0,0.0,4
5,1,entir famili love alexa echo she part famili,0.375,0.0,0.625,44
5,1,great fun get know function product  wow  famili fun homework help  talk grandchildrenwho also echo huge bonus  cant wait learn,0.639,0.0,0.361,127
5,1,love,1.0,0.0,0.0,4
5,1,awesom thing love alexa,0.583,0.0,0.417,23
5,1,work exact expect speaker great sound perfect classroom,0.565,0.0,0.435,55
5,1,love love new littl gadget   made live much easier  like person secretari live home  hard need cds anymor sinc alexa play everyth need  go get alexa dot soon room  thank,0.433,0.033,0.535,169
4,1,speaker surpris qualiti happi purchas,0.0,0.0,1.0,37
5,1,easi set work wonder love,0.512,0.0,0.488,25
5,1,im realli impress sound qualiti play music devic  bass sound almost like come bigger speaker prop amazon,0.415,0.0,0.585,104
4,1,it still great productbut sound qualiti seem worsedon't get wrong definit get use within hour definit feel like echo gen  sound qualiti betterbesid  it greatwith addit abl play bluetooth wifi it even better,0.34,0.0,0.66,206
4,1,outlet work disappoint,0.0,0.574,0.426,22
4,1,great devic respons help,0.773,0.0,0.227,24
2,0,sound terribl u want good music get bose,0.412,0.0,0.588,40
4,1,like sound  troubl paid extra money access million song sometim doesnt work ex alexa play italian  dont  understand play opera tosca respons  ,0.189,0.079,0.733,142
5,1,easi set use bad plug would nice take outsid oper batteri recharg,0.172,0.215,0.613,65
5,1,still learn way use  real hit grandkid ask play music danc    yrs  cute,0.329,0.0,0.671,71
4,1,  star general like product great ask like play music set timer make call reason didnt rate   sometim connect die echo stop play music show red ring seem connect issu overal great product,0.374,0.127,0.499,187
5,1,work great upgrad echo dot full size echo couldn't happier,0.276,0.187,0.538,58
5,1,alexa els say,0.0,0.0,1.0,13
5,1,upgrad lilttl echo dot happi sound,0.0,0.0,1.0,34
4,1,excel product set eas well,0.63,0.0,0.37,26
5,1,ive first gen echo sinc first came work well purchas  gen prime day far im happi seem improv speaker provid enhanc sound music,0.087,0.0,0.913,126
5,1,love echo smart speaker  love volum clariti  easi set  wonder gift age,0.636,0.0,0.364,70
5,1,wonder product fast deliveri,0.0,0.0,1.0,28
4,1,initi harder set call tech wasn't knowledg work great,0.0,0.292,0.708,53
5,1,easi set famili love it,0.512,0.0,0.488,23
5,1,great sound respons voic command,0.506,0.0,0.494,32
5,1,live long without echo  get enjoy music style  ask alexa  go upgread wireless  love echo  love alexa ,0.336,0.105,0.559,101
5,1,cool product speaker sound good spotifi blast,0.51,0.0,0.49,45
5,1,much fun alexa love abl listen music i'm across room busi someth els,0.405,0.0,0.595,68
5,1,far seem nice item pick voic understand without problem day ask turn music next room heard fine ive use listen music check weather done thing well,0.289,0.0,0.711,146
5,1,love echo,0.808,0.0,0.192,9
5,1,love itsh help use rememb thing sleep ask anyth week still learn,0.408,0.0,0.592,64
4,1,better  gen everi way except one  realli miss ring top volum control  quicker easier grab top twist without look button find  one press time  also wish bass bit better  great devic im happi,0.417,0.035,0.548,189
5,1,love alexa,0.808,0.0,0.192,10
5,1,far like 🤓,0.373,0.328,0.299,10
5,1,thorough enjoy ecoo  love read audiobook offic simpli open audiobook kindl continu elsewher wonder listen music mood book great set remind much,0.377,0.0,0.623,143
5,1,still love,0.808,0.0,0.192,10
5,1,love,1.0,0.0,0.0,4
5,1,love sound qualiti unit clear sound,0.63,0.0,0.37,35
4,1,listen talk radio morn turn light etc system excel job full hous sound system stream sirius,0.167,0.0,0.833,91
5,1,week still learn alexa  learn process  love music call time  listen podcast radio station  start keep shop list groceri list love  don't search paper pencil  get time temperatur great wait weather report  sound good  fussi woofer tweeter base  etc  echo fine  afternoon go tri “drop in”on son get home  go surpris,0.272,0.0,0.728,313
1,0,much featur,0.0,0.0,1.0,11
5,1,great sound qualiti great featur great product multi room music cool,0.676,0.0,0.324,68
5,1,cool,1.0,0.0,0.0,4
5,1,everyon echo two three bought echo qvc,0.0,0.0,1.0,38
3,1,annoy everyth show alexa abl download spend  much time tri figur phrase machin may well look,0.111,0.153,0.737,92
5,1,alexa sinc begin  accident spill water replac  generat  decid couldnt without echo  setup easi work within minut,0.0,0.162,0.838,112
5,1,like abl tell alexia music want hear sometim troubl find song specif titl,0.257,0.0,0.743,73
5,1,like look better origin echo  move old echo basement famili room nice sound,0.451,0.0,0.549,75
5,1,echo wonder im still learn use music request somewhat limit,0.0,0.0,1.0,59
3,1,doesnt know half thing ask cant recogn sprinkler wifi control even though product detail say compat cant program chang wifi thermostat set match wifi router handi music player that amazon music,0.054,0.0,0.946,193
5,1,love,1.0,0.0,0.0,4
5,1,awesomeunderstand kid,0.0,0.0,1.0,21
5,1,pleasant surpris sound qualiti mani featur nice easili hear particular artist hear book simpl command look forward explor option devic,0.253,0.0,0.747,134
5,1,met exceed expect easi set realli quick respons,0.0,0.0,1.0,47
5,1,like fact get kind music prime want request alexa like inform photo littl pamphlet wish includ connect tv etc command alexa realli love music,0.48,0.0,0.52,141
4,1,found way access echo thorough prime account  think part top line video music etc  also think setup app defin exampl music like well integr echo  tri ask playlist echo sure even though set play list set  also like fact word exact match playlist name never rememberi like readi natur echo respond queri,0.224,0.035,0.741,301
5,1,great item ad audibl book make even better thank,0.613,0.0,0.387,48
5,1,prime day  gen echo sale couldnt resist begin smart home set couldnt happier say alexa done amaz job connect smart devic thank control light smart plug tv etc troubl connect echo wifi phone app work perfect fine let add skill routin smart devic timer much sound qualiti good enough sinc audiophil alexa hear voic even watch movi high volum design great modern definit add nice touch home chang cover youd like sale overal great addit home enabl mani possibl havent yet sure add alexa home,0.294,0.063,0.643,488
5,1,versatil fun ,0.767,0.0,0.233,13
5,1,work great killer speaker wife son love,0.5,0.259,0.241,39
5,1,regret wait long purchas item surpris pleas sound qualiti,0.0,0.259,0.741,57
1,0,stop work  week didnt follow command realli fun work,0.264,0.176,0.56,52
5,1,far love work get thing set love groceri list app,0.512,0.0,0.488,49
4,1,perform pretti much expect disappoint provid terminolog need play various kind music without subscrib amazon music servic  understand music choic may limit without know ask cannot access music provid free along echo purchas  chart show languag need use,0.196,0.091,0.712,252
5,1,easi set,0.0,0.0,1.0,8
3,1,like product except speaker high qualiti expect,0.294,0.0,0.706,47
5,1,great invest alexa help made laugh,0.776,0.0,0.224,34
5,1,yet anoth exho home love,0.512,0.0,0.488,24
5,1,love plan gender music big band jazz easi find local radio sound good stop voic command get phone call,0.281,0.087,0.632,102
5,1,good valu,0.744,0.0,0.256,9
5,1,super easi set love new echo,0.669,0.0,0.331,28
5,1,what like speaker  ask alexa,0.385,0.0,0.615,28
5,1,best father day gift dad joke mom alexa one listen repeat stori go forward,0.458,0.0,0.542,74
5,1,great addit breakfast room kitchen  tune inform instant avail  slowli learn featur,0.272,0.0,0.728,82
5,1,sound qualiti,0.0,0.0,1.0,13
2,0,sad joke worthless,0.268,0.732,0.0,18
5,1,entertain,1.0,0.0,0.0,9
5,1,good qualiti,0.744,0.0,0.256,12
4,1,work great sound great miss beat wish batteri better portabl,0.676,0.078,0.245,60
5,1,love till someon stole cant afford replac yet go,0.344,0.0,0.656,48
5,1,alexa rock,0.0,0.0,1.0,10
4,1,got gift love never would bought one allow play music amozon prime music  that worth  also give news brief tell joke,0.508,0.0,0.492,116
3,1, ,0.0,0.0,0.0,1
5,1,mom bought echo dot repeat ask take one great told “no” two day made take  hour later could live life without  it amaz four larg speaker small echo dot return say you'r go order alexa speaker go big get echo otherwis tou'll return two echo dot couldn't live without,0.079,0.0,0.921,265
5,1,love great product,0.892,0.0,0.108,18
5,1,easi set user friend,0.516,0.0,0.484,20
2,0,realli disappoint alexa plugin wall socket time  fault check made assumpt compani technolog advanc amazon would sell product recharg batteri  could return would appl music boom speaker give flexibl alexa,0.05,0.158,0.792,203
3,1,dont think   sound good   aux could add extern speaker  go wouldnt get dot   issu isnt uniqu unit dont understand cant overrid default prevent play blue tooth speaker play   get delay use bt speaker  unit heard abl play group use bt speaker,0.15,0.12,0.729,240
5,1,everyth,0.0,0.0,1.0,7
3,1,like interact ask question don't like can't ask setup schedul connect lamp,0.171,0.144,0.684,74
5,1,supberb sound definit worth extra money listen lot music,0.192,0.0,0.808,56
5,1,realli love amazon echo think sound qualiti great lot fun realli handi music get updat weather sport,0.506,0.0,0.494,100
5,1,love  grandkid,0.808,0.0,0.192,14
4,1,far work well alway intuit link differ devic skill get hang,0.174,0.0,0.826,59
5,1,work advertis,0.0,0.0,1.0,13
5,1,love,1.0,0.0,0.0,4
4,1,love new addit hous speaker qualiti great love alexa two  complaint suggest futur seri would better communic abil exampl smart light hous unless specifi kitchen light  kitchen light  prior command either won't respond say doesn't recogn may want alexa respond say thank afterward repeat alexa thank time won't respond husband know sound odd laugh mayb it southern thing want alexa manner,0.338,0.069,0.592,387
5,1,like everyth music trivia game weather,0.333,0.0,0.667,38
5,1,describ receiv time  like automat enrol music,0.294,0.0,0.706,45
5,1,great devic,0.804,0.0,0.196,11
3,1,own echo overa year new lack easi way increas decreas volum without tell increas decreas volum hard wife sinc english second languag born korea sound echo superb we'll keep,0.121,0.109,0.769,172
5,1,love  kitchen work well,0.759,0.0,0.241,23
5,1,nice  im impress  wish say though,0.737,0.0,0.263,33
5,1,love product nice easi access much info,0.583,0.0,0.417,39
2,0,got great sound bass doesnt work time still hot miss recogn thing,0.261,0.102,0.637,65
4,1,still discov echo,0.0,0.0,1.0,17
5,1,amaz paroduct,0.0,0.0,1.0,13
4,1,good hear rang sound qualiti bit complic set doesnt quit understand lot even speak slowli clear love flash brief featur interfac abod home secur system,0.306,0.0,0.694,151
4,1,speaker sound good,0.592,0.0,0.408,18
5,1,absolut love,0.808,0.0,0.192,12
5,1,best part product control thermostat light hous  isn't anyth dislik,0.318,0.0,0.682,67
5,1,thorough enjoy amazon echo instal easi use alexa app purchas  kasa smart plug control live room light instal easi use kasa app sinqu right echo enjoy play music echo sound qualiti awesom weve ad kasa smart bulb kitchen setup seamless look forward ad autom home,0.29,0.0,0.71,260
5,1,home entertain,0.697,0.0,0.303,14
4,1,cool product easi setup fun use sound qualiti much better anticip,0.515,0.0,0.485,65
5,1,love  great sound easi connect use,0.675,0.0,0.325,34
5,1,doesnt work fair new smart tv that main tv manufacturerslg fault due support anyth older tvs year smart lock also need addit piec equip order connect well speaker sound great work well,0.364,0.103,0.533,184
5,1,great sound littl speaker,0.577,0.0,0.423,25
5,1,enjoy,1.0,0.0,0.0,5
5,1, ,0.0,0.0,0.0,1
5,1,cool,1.0,0.0,0.0,4
4,1,good qualiti great sound qualiti,0.7,0.0,0.3,32
5,1,work perfect,0.787,0.0,0.213,12
4,1,great product sometim alexa understand command fire tv fabul speaker,0.283,0.166,0.552,68
4,1,love echo great sound smart,0.846,0.0,0.154,27
5,1,sure  love ,1.0,0.0,0.0,11
5,1,play great,1.0,0.0,0.0,10
5,1,work absolut great,0.672,0.0,0.328,18
5,1,amaz product great sound qualiti,0.506,0.0,0.494,32
5,1,best thing ive invest thank much 😁😁😁😁,0.483,0.0,0.517,37
5,1,extrem impress item bought    imperfect cant tell even one work great didnt come packag seal damag wasnt miss anyth like sound qualiti see knock bose great famili easi use minor learn curv learn voic integr seamless amazon servicesc wait get classroom lot fun even speaker let alon plan,0.283,0.071,0.646,286
5,1,love echo show  bedroom wonder music info sleep sound,0.344,0.0,0.656,53
5,1,awesom life changer serious abl start morn alexa   alarm play music gotten use voic anoth room  say love echo dont hesit get one price speaker unbeliev buy cordless holder take echo anywher love purchas love alexa,0.308,0.076,0.616,213
2,0,super impress alexa prime laps wouldnt play anyth isnt smart enough differenti among spotifi account cant use either random speak nobodi talk today unplug hernot sure ill ever use alexa,0.226,0.176,0.597,185
5,1,like everyth ,0.714,0.0,0.286,13
5,1,like ,1.0,0.0,0.0,5
5,1,never issu buy use electron long get good like new read comment see use,0.31,0.0,0.69,71
5,1,famili realli love new echo,0.512,0.0,0.488,27
5,1,bought wife love,0.677,0.0,0.323,16
5,1,fun got today pod go car use hous,0.32,0.0,0.68,33
4,1,like,1.0,0.0,0.0,4
5,1,third echo worth everi penni like  household employe small flat rate keep bedroom live room dropin use intercom listen music answer quick question alarm wake school etc,0.143,0.078,0.779,168
5,1,listen music set timer,0.0,0.0,1.0,22
5,1,receiv echo perfect condit devic easi set respond quick without issu alexa great addit famili,0.185,0.165,0.65,93
5,1,good sound like music schedul like get random thought record think joke cute,0.621,0.0,0.379,76
5,1,purchas begin learn  far pleas amaz differ action perform  enjoy look forward learn option provid,0.186,0.0,0.814,97
5,1,echo great other even though smaller,0.451,0.0,0.549,36
5,1,funni buy someth look fun wind total use part home  love,0.455,0.0,0.545,56
3,1,bought replac  live room speaker slight better hear better tv unfortun doesnt understand respond request well dot frequent request   time get want dot usual exact want first request dont consid upgrad,0.277,0.0,0.723,200
5,1,good experi far second generat echo mani thing learn time yet right most enjoy music weather updat use alarm featur person also purchas mini smart socket yes excit begin use,0.301,0.061,0.638,173
5,1,i'm troubl connect tv i'm exact tech smart i'm sure one grandson figur far i'v use most music,0.238,0.0,0.762,93
5,1,simpli love echo hard watch tv anymor im busi listen music speaker pretti goo size fun skill realli make echo fun whole famili,0.346,0.045,0.609,126
5,1,enjoy entir echo experi,0.516,0.0,0.484,23
4,1,easi set,0.0,0.0,1.0,8
4,1,echo amaz devic  mani time seem intuit  time ask someth seem clear simpl get result  instal fair straightforward mess sever time simpli thought step complet wasnt  actual made lose ground figur  advic patient app let know move next stepmi biggest issu moment sever echo devic home would like use intercom told done  howev cant make echo awar other exist  ask alexa answer instruct chang name  know like fault would think design would anticip make easier find need instruct  small deal mani devic savvi peopl challeng,0.154,0.054,0.793,516
5,1,love much,0.808,0.0,0.192,9
5,1,origin alexa tap far  generat best im happi see make improv new oneit would great updat littl ai think would help lot bug happi play music throughout whole hous adjust bass trebl thank,0.362,0.0,0.638,184
5,1,pleas echo  generat nice alexa avail music weather news probabl lot haven't discov,0.189,0.0,0.811,82
4,1,pleasant surpris sound qualiti echo big fan deep bass might suffici though potenti control home option explor evolv home smart home voic recognit impress stylish fun regret purchas great technic chang peopl ask play song movi respond instant elder love one would great gift connect wifi simpl use  want unlimit music control sure amazon prime premium spotifi blown away person dj even convers echo embarrass say echo made laugh coupl time ask tell joke tell packag sinc amazon prime addict come extrem  handi,0.391,0.043,0.565,508
5,1,easi setup love thing,0.583,0.0,0.417,21
5,1,alexa throughout houseth futur arriv,0.0,0.0,1.0,36
5,1,alreadi alexa amazon find today could resist get echo also best thing ever use side hous couldnt happier,0.249,0.117,0.634,104
5,1,arriv expect,0.0,0.0,1.0,12
5,1,bought week ago   everyth product excel  dont forget buy charger order must take outsid pool worri hire electrician put outlet yard,0.197,0.0,0.803,131
4,1,terrif,0.0,0.0,1.0,6
5,1,love echo,0.808,0.0,0.192,9
5,1,it smaller origin look nicer,0.42,0.0,0.58,28
5,1,work great,0.804,0.0,0.196,10
5,1,husband would call   come technolog decid would tri echo serv primarili music sourc  wow amaz great sound  weve also great time listen favorit song buy ask alexa  may even buy one elder dad  think enjoy one listen music even place call us,0.286,0.0,0.714,238
5,1,realli enjoy  chang directv channel play iheartradio pandora  adjust ac thermostat turn live room light outsid light,0.272,0.0,0.728,116
5,1,want one  bought prime day absolut love,0.524,0.0,0.476,39
5,1,glad got echo bluetooth speaker alexa much stuff non smart speaker person love timer featur help cook multipl thing simultan pandora integr anoth featur use daili happi prime day purchas get echo hub echo dot futur,0.283,0.0,0.717,214
5,1,see subject line  love,0.583,0.0,0.417,22
5,1,love,1.0,0.0,0.0,4
5,1,easi setup,0.0,0.0,1.0,10
5,1,hesit buy echo echo dot seem good enough echo except sound qualiti realli didnt feel need howev glad got differ sound realli far superior echo dot listen greatest showman littl power,0.335,0.0,0.665,182
5,1,sound qualiti great still learn differ thing fun,0.552,0.0,0.448,48
5,1,got good deal work great prime  setup bit pain fault crappi internet servic  work great nice sound small speaker,0.422,0.182,0.395,112
5,1,love,1.0,0.0,0.0,4
5,1,work great perfect offic,0.796,0.0,0.204,24
5,1,love one insid hous one pool  good bose speaker around hous ,0.441,0.0,0.559,60
5,1,easi useamaz,0.0,0.0,1.0,12
5,1,nice product,0.737,0.0,0.263,12
5,1,love echo total amaz speaker qualiti bum didn't buy two sinc got prime day,0.244,0.0,0.756,74
5,1,respons great sound qualiti size,0.506,0.0,0.494,32
5,1,effici amaz  cool  use often everi day,0.277,0.0,0.723,38
4,1,i'm impress qualiti sound echo it definit compar bose mini gave  star can't use appl music account,0.153,0.0,0.847,98
5,1,technolog small devic price good sound amaz must featur home,0.244,0.0,0.756,60
5,1,main use music i'm learn time  realli noth bad say,0.0,0.28,0.72,50
5,1,replac  gen concern smaller unit soundi wrong  anyth volum clear  good product,0.312,0.176,0.511,78
5,1,great addit echo plus,0.577,0.0,0.423,21
5,1,best,1.0,0.0,0.0,4
5,1,love featur play music everi room multipl echo,0.524,0.0,0.476,46
5,1,love alexa  surpris much use,0.512,0.0,0.488,28
5,1,use product enjoy love,0.787,0.0,0.213,22
5,1,easi use great soundit great purchas great price,0.711,0.0,0.289,48
5,1,easi set issu,0.0,0.0,1.0,13
5,1,unit add much pleasur echo plus  music inform home one room,0.0,0.0,1.0,59
4,1,extrem use simpl thing like spotifi audibl thing like sometim doesnt answer everyth ask still nice use,0.358,0.0,0.642,102
2,0,difficult set  keep time enter password,0.0,0.333,0.667,39
5,1,get use use echo use shop list listen music timer work great far,0.255,0.0,0.745,64
5,1,cool lot fun use week still learn capabl,0.483,0.0,0.517,40
5,1,love love,1.0,0.0,0.0,9
5,1,love hard time set app,0.488,0.163,0.349,22
5,1,use offic anoth apart music inform,0.0,0.0,1.0,34
4,1,great music littl hard figur work,0.432,0.147,0.421,33
5,1,given  year time birthday gift dad love ask alexa anyth answer plus it good homework purchas one prime day bathroom i'm get readi work listen music  base it metro boom replac clock radio plus echo dot night stand alarm clock,0.207,0.05,0.744,224
5,1,impress look clariti sound color,0.42,0.0,0.58,32
5,1,alexa amaz great speaker,0.577,0.0,0.423,24
5,1,still get use alexa dont connect tv yet thing right use music inform great,0.24,0.0,0.76,74
5,1,work sound great hous bare  sit kitchen counter hear speak room lot function still discov,0.227,0.0,0.773,89
5,1,pure fun echo  weather joke news brief music still much use  lot fun money,0.444,0.0,0.556,74
5,1,use time especi communic kid throughout home,0.0,0.0,1.0,44
5,1,love still learn make lot thing easier like forget turn light anoth room ask alexa turn light,0.389,0.078,0.533,93
5,1,bought daughter turn   love  especi like call featur sinc doesn't cell phone  love play music danc amazon music play favorit song  sometim lol,0.452,0.095,0.452,142
5,1,got wed gift haven't discov featur yet updat play music great though,0.511,0.0,0.489,68
5,1,impress sound qualiti,0.592,0.0,0.408,21
5,1,pleas purchas echo smart speaker  love fact play music differ genr whenev wanthad troubl first wi fi work,0.383,0.0,0.617,105
5,1, wife  enjoy eas play music game fun  entertain look forward ad smart product home,0.607,0.0,0.393,82
5,1,second echo love help kitchen set timer listen news prepar groceri list get great music,0.478,0.0,0.522,87
4,1,sound qualiti good wish alexa could answer question,0.483,0.0,0.517,51
5,1,second echo dot speaker weak purchas listen music speaker great,0.273,0.193,0.533,63
5,1,great sound,0.804,0.0,0.196,11
5,1,great,1.0,0.0,0.0,5
4,1,realli use speaker stream music we'v  month it kinda useless,0.0,0.218,0.782,60
5,1,set user friend setup wasnt user friend id hope alexa app abl download pc without instal  driver wife retir wouldnt abl instal alexa son wasnt suppli smart phone wouldnt use alexa yet,0.156,0.125,0.718,183
5,1,easi set realli enjoy,0.516,0.0,0.484,21
3,1,echo doesn't come built batteri plug time use make quit inconveni,0.0,0.0,1.0,65
5,1,compact bit better origin,0.492,0.0,0.508,25
5,1,love pretti cool,0.867,0.0,0.133,16
5,1,live room music sound realli good live room  hear upstair,0.244,0.0,0.756,57
5,1,great product  set easi  sound wonder,0.451,0.0,0.549,37
4,1,far like  bought music though sound pretti good,0.474,0.0,0.526,47
5,1,love,1.0,0.0,0.0,4
